#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
44.786	307	44.812	482
44.836	293	44.862	480
44.888	285	44.913	479
44.938	283	44.963	478
44.989	288	45.015	477
45.039	298	45.065	476
45.090	315	45.116	474
45.140	336	45.166	474
45.192	360	45.217	472
45.242	386	45.267	473
45.293	414	45.319	472
45.343	441	45.369	473
45.394	466	45.420	473
45.445	486	45.470	476
45.496	503	45.521	477
45.546	515	45.572	479
45.597	522	45.623	482
45.647	523	45.673	485
45.699	516	45.724	488
45.749	505	45.774	491
45.800	488	45.826	492
45.850	467	45.876	494
45.901	444	45.927	495
45.951	416	45.977	495
46.003	389	46.028	495
46.053	363	46.078	493
46.104	339	46.130	491
46.154	319	46.180	488
46.205	303	46.231	484
46.256	292	46.281	481
46.307	288	46.332	477
46.357	290	46.383	474
46.408	299	46.434	470
46.458	311	46.484	466
46.510	329	46.535	464
46.560	351	46.585	464
46.611	376	46.637	461
46.661	401	46.687	462
46.712	428	46.738	463
46.762	453	46.788	466
46.814	475	46.839	469
46.864	493	46.889	472
46.915	507	46.941	476
46.965	515	46.991	480
47.016	517	47.042	486
47.067	514	47.092	490
47.118	505	47.143	494
47.168	491	47.194	498
47.219	473	47.245	501
47.269	450	47.295	503
47.321	426	47.346	504
47.371	401	47.396	504
47.422	377	47.448	502
47.472	352	47.498	500
47.523	332	47.549	496
47.573	315	47.599	491
47.625	303	47.650	485
47.675	296	47.700	480
47.726	295	47.752	474
47.776	300	47.802	468
47.827	310	47.853	462
47.878	326	47.903	458
47.929	344	47.954	455
47.980	367	48.005	452
48.030	389	48.056	452
48.081	416	48.106	453
48.132	439	48.157	456
48.183	461	48.207	459
48.233	480	48.259	465
48.284	495	48.309	471
48.334	506	48.360	477
48.386	511	48.410	484
48.436	510	48.461	492
48.487	504	48.511	498
48.537	493	48.563	504
48.588	477	48.613	508
48.638	457	48.664	512
48.690	435	48.714	514
48.740	412	48.765	513
48.791	388	48.816	511
48.841	366	48.867	508
48.892	345	48.917	504
48.943	328	48.968	497
48.994	313	49.018	491
49.044	305	49.070	482
49.095	303	49.120	475
49.145	305	49.171	467
49.197	312	49.221	460
49.247	323	49.272	453
49.298	341	49.322	449
49.348	360	49.374	445
49.399	381	49.424	444
49.449	404	49.475	444
