#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
44.533	437	44.558	450
44.583	437	44.608	451
44.634	437	44.660	451
44.684	438	44.710	450
44.735	438	44.761	450
44.785	439	44.811	450
44.837	438	44.862	450
44.887	438	44.912	451
44.938	439	44.964	450
44.988	438	45.014	450
45.039	440	45.065	450
45.090	440	45.115	451
45.141	440	45.166	451
45.191	438	45.217	451
45.242	440	45.268	451
45.292	439	45.318	450
45.344	439	45.369	450
45.394	439	45.419	451
45.445	439	45.471	451
45.495	438	45.521	451
45.546	438	45.572	450
45.596	438	45.622	450
45.648	438	45.673	449
45.698	440	45.723	450
45.749	439	45.775	450
45.799	440	45.825	451
45.850	439	45.876	450
45.901	440	45.926	450
45.952	439	45.977	451
46.002	440	46.028	451
46.053	439	46.079	451
46.103	439	46.129	451
46.155	439	46.180	450
46.205	439	46.230	451
46.256	439	46.282	450
46.306	438	46.332	451
46.357	439	46.383	451
46.407	437	46.433	451
46.459	439	46.484	451
46.509	438	46.534	450
46.560	439	46.586	450
46.610	439	46.636	451
46.661	439	46.687	451
46.712	439	46.737	451
46.763	439	46.788	451
46.813	439	46.839	450
46.864	439	46.890	450
46.914	439	46.940	450
46.966	439	46.991	451
47.016	439	47.041	450
47.067	438	47.093	450
47.117	440	47.143	450
47.168	438	47.194	450
47.219	438	47.244	451
47.270	438	47.295	450
47.320	439	47.345	450
47.371	439	47.397	451
47.421	439	47.447	450
47.472	439	47.498	451
47.523	438	47.548	451
47.574	439	47.599	450
47.624	439	47.650	451
47.675	439	47.701	450
47.725	438	47.751	451
47.777	440	47.802	450
47.827	439	47.852	450
47.878	439	47.904	450
47.928	438	47.954	451
47.979	439	48.005	451
48.030	439	48.055	451
48.081	439	48.106	450
48.131	439	48.156	450
48.182	439	48.208	450
48.232	439	48.258	451
48.283	438	48.309	450
48.334	439	48.359	450
48.385	439	48.410	451
48.436	440	48.461	451
48.486	439	48.512	450
48.537	439	48.562	451
48.588	439	48.613	450
48.639	440	48.663	450
48.689	438	48.715	451
48.740	439	48.765	451
48.790	438	48.816	451
48.842	439	48.866	451
48.892	440	48.917	450
48.943	438	48.967	450
48.993	439	49.019	451
49.044	439	49.069	450
49.094	440	49.120	450
49.146	438	49.170	450
49.196	440	49.221	450
49.247	439	49.272	451
49.297	439	49.323	451
49.348	438	49.373	450
49.399	439	49.424	450
49.450	440	49.474	451
49.500	439	49.526	451
49.551	440	49.576	450
49.601	439	49.627	450
49.653	440	49.677	450
49.703	439	49.728	450
49.754	439	49.779	451
49.804	438	49.830	451
49.855	439	49.880	451
49.905	438	49.931	451
49.957	438	49.981	450
50.007	439	50.032	451
50.058	438	50.083	451
50.108	438	50.134	450
50.159	438	50.184	451
50.210	439	50.235	451
50.261	439	50.285	451
50.311	440	50.337	450
50.362	438	50.387	450
50.412	439	50.438	450
50.464	438	50.488	451
50.514	439	50.539	449
50.565	439	50.590	450
50.615	439	50.641	450
50.666	438	50.691	451
50.716	439	50.742	450
50.768	439	50.792	450
50.818	438	50.843	451
50.869	439	50.894	450
50.919	438	50.945	451
50.970	439	50.995	452
